rule_id,rule_type,asset_id,page_type,rule_name,rule,recommended_position,keywords,priority,priority_rank,source_materials,source_step,source_file
composition.dynamic-form-list,asset_composition,module-dynamic-form-list-basic,CreatePage | EditPage | Modal,动态表单明细模块 组合规则,用于可重复条目录入，支持新增、删除和行内编辑,,动态字段 动态明细 批量录入 增减行,P1,90,recipe-gap,data/manual
validation.dynamic-form-list,asset_validation,module-dynamic-form-list-basic,CreatePage | EditPage | Modal,动态表单明细模块 校验规则,必须包含新增入口和行级删除动作；至少保留一行示例数据,,动态字段 动态明细 增减行 明细录入,P1,90,recipe-gap,data/manual
composition.tab-panel-basic,asset_composition,module-tab-panel-basic,DetailPage | SettingsPage,基础标签面板 组合规则,用于标签页中的概览内容区，承载核心字段和当前状态,,标签面板 tab 概览 基础信息,P1,86,recipe-gap,data/manual
validation.tab-panel-basic,asset_validation,module-tab-panel-basic,DetailPage | SettingsPage,基础标签面板 校验规则,必须作为 tabs 的内容区域之一；不得脱离 tabs 独立使用,,标签面板 tab 概览,P1,86,recipe-gap,data/manual
composition.tab-panel-detail,asset_composition,module-tab-panel-detail,DetailPage,详情标签面板 组合规则,用于标签页中的详细说明、影响范围和补充信息,,详情标签 详细说明 补充信息,P1,86,recipe-gap,data/manual
validation.tab-panel-detail,asset_validation,module-tab-panel-detail,DetailPage,详情标签面板 校验规则,必须包含至少一个详情分组；不要退化成纯文本长段落,,详情标签 详细说明,P1,86,recipe-gap,data/manual
composition.tab-panel-log,asset_composition,module-tab-panel-log,DetailPage | ApprovalPage,日志标签面板 组合规则,用于标签页中的操作记录或流转轨迹,,日志标签 操作记录 流转记录,P1,86,recipe-gap,data/manual
validation.tab-panel-log,asset_validation,module-tab-panel-log,DetailPage | ApprovalPage,日志标签面板 校验规则,必须体现时间、操作者和动作；不要只有结果状态,,日志标签 操作记录 流转记录,P1,86,recipe-gap,data/manual
composition.tab-panel-table,asset_composition,module-tab-panel-table,DetailPage | TablePage,表格标签面板 组合规则,用于标签页中的关联表或子表明细,,表格标签 关联表 明细表,P1,88,recipe-gap,data/manual
validation.tab-panel-table,asset_validation,module-tab-panel-table,DetailPage | TablePage,表格标签面板 校验规则,必须包含表头和至少一行数据；表格标题要明确,,表格标签 关联表 明细表,P1,88,recipe-gap,data/manual
composition.editable-table,asset_composition,region.editable-table.basic,TablePage | EditPage,可编辑表格区 组合规则,用于表格内直接录入和修改字段，适合轻量明细编辑和行级保存场景,,可编辑表格 编辑表格 行内编辑 表格录入,P1,92,semantic-refactor,data/manual
validation.editable-table,asset_validation,region.editable-table.basic,TablePage | EditPage,可编辑表格区 校验规则,必须包含可编辑控件和行级保存/删除动作；不得退化成纯只读表格,,可编辑表格 编辑表格 行内编辑 保存表格,P1,92,semantic-refactor,data/manual
composition.horizontal-form,asset_composition,region.form-section.horizontal,CreatePage | EditPage,统一表单横向模式 组合规则,用于字段数量适中且强调标签对齐和信息扫描效率的录入页面,,横向表单 左右表单 标签对齐 基础录入,P1,91,semantic-refactor,data/manual
validation.horizontal-form,asset_validation,region.form-section.horizontal,CreatePage | EditPage,统一表单横向模式 校验规则,data-mode=horizontal 时必须保持稳定标签列宽和控件对齐；不得退化成多分组卡片堆叠,,横向表单 左右表单 标签对齐 编辑资料,P1,91,semantic-refactor,data/manual
composition.config-editor-panel,asset_composition,module.config-editor-panel,SettingsPage | EditPage | Drawer,配置编辑器面板 组合规则,用于集中编辑复杂配置，同时承载预览、影响说明或保存操作,,配置编辑 配置面板 规则配置 字段配置,P1,90,semantic-refactor,data/manual
validation.config-editor-panel,asset_validation,module.config-editor-panel,SettingsPage | EditPage | Drawer,配置编辑器面板 校验规则,必须包含编辑区和预览或说明区；保存动作明确且不与普通设置项混淆,,配置编辑 配置面板 预览保存 字段配置,P1,90,semantic-refactor,data/manual
composition.home-task-panel,asset_composition,region.home-task-panel.basic,HomePage | BusinessHomePage,首页待办面板 组合规则,用于首页承载待处理任务和快速处理入口，优先呈现最近需要关注的事项,,待办 任务 待处理 首页任务,P1,89,semantic-refactor,data/manual
validation.home-task-panel,asset_validation,region.home-task-panel.basic,HomePage | BusinessHomePage,首页待办面板 校验规则,必须包含任务标题和状态；至少保留一条带时间信息的任务,,待办 任务 待处理 首页任务,P1,89,semantic-refactor,data/manual
composition.quick-entry-grid,asset_composition,region.quick-entry-grid.basic,HomePage | BusinessHomePage,快捷入口网格 组合规则,用于首页集中展示高频动作入口，适合新建、导出、配置等立即执行操作,,快捷入口 快速操作 常用入口 首页入口,P1,88,semantic-refactor,data/manual
validation.quick-entry-grid,asset_validation,region.quick-entry-grid.basic,HomePage | BusinessHomePage,快捷入口网格 校验规则,入口数量控制在 4-6 个；文案必须可执行；不得退化成纯说明卡片,,快捷入口 快速操作 常用入口 首页入口,P1,88,semantic-refactor,data/manual
composition.business-section-grid,asset_composition,region.business-section-grid.basic,BusinessHomePage,业务栏目网格 组合规则,用于业务首页按栏目聚合核心模块入口和说明，不应退化成普通按钮堆叠,,业务栏目 业务模块 门户栏目 业务导航,P1,88,semantic-refactor,data/manual
validation.business-section-grid,asset_validation,region.business-section-grid.basic,BusinessHomePage,业务栏目网格 校验规则,每个栏目必须包含标题和说明；栏目数量建议 3-6 个,,业务栏目 业务模块 门户栏目 业务导航,P1,88,semantic-refactor,data/manual
composition.report-table,asset_composition,region.report-table.basic,ReportPage | TablePage,报表明细表格区 组合规则,用于承载统计结果明细和按维度展开的数据表，不与普通主列表混用,,报表表格 统计明细 报表明细 汇总表格,P1,87,semantic-refactor,data/manual
validation.report-table,asset_validation,region.report-table.basic,ReportPage | TablePage,报表明细表格区 校验规则,必须包含统计维度和指标列；表头语义明确；不得退化成纯基础表格,,报表表格 统计明细 报表明细 汇总表格,P1,87,semantic-refactor,data/manual
